-78.2	-10.0		
-78.2	-10.2		
-78.0	-10.4		
-78.0	-10.6		
-77.8	-10.8		
-77.6	-11.0		
-77.6	-11.2		
-77.4	-11.4		
-77.2	-11.6		
-77.2	-11.8		
-77.2	-12.0		
-77.0	-12.2		
-76.8	-12.4		
-76.8	-12.6		
-76.6	-12.8		
-76.6	-13.0		
-76.4	-13.2		
-76.2	-13.4		
-76.2	-13.6		
-76.4	-13.8		
-76.2	-14.0		
-76.2	-14.2		
-76.0	-14.4		
-76.0	-14.6		
-75.8	-14.8		
-75.4	-15.0		
-75.2	-15.2		
-75.2	-15.4		
-74.8	-15.6		
-74.4	-15.8		
-74	-16		
-73.6	-16.2		
-73.2	-16.4		
-72.8	-16.6		
-72.4	-16.8		
-72	-17		
-71.8	-17.2		
-71.4	-17.4		
-71.4	-17.6		
-71.2	-17.8		
-70.8	-18.0		
-70.6	-18.2		
-70.4	-18.4		
-70.4	-18.6		
-70.4	-18.8		
-70.4	-19.0		
-70.2	-19.2		
-70.2	-19.4		
-70.2	-19.6		
-70.2	-19.8		
-70.2	-20.0		
-70.2	-20.2		
-70.2	-20.4		
-70.2	-20.6		
-70.2	-20.8		
-70.2	-21.0		
-70.0	-21.2		
-70.0	-21.4		
-70.2	-21.6		
-70.2	-21.8		
-70.2	-22.0		
-70.2	-22.2		
-70.2	-22.4		
-70.2	-22.6		
-70.4	-22.8		
-70.4	-23.0		
-70.6	-23.2		
-70.6	-23.4		
-70.4	-23.6		
-70.6	-23.8		
-70.6	-24.0		
-70.6	-24.2		
-70.6	-24.4		
-70.6	-24.6		
-70.6	-24.8		
-70.6	-25.0		
-70.4	-25.2		
-70.4	-25.4		
-70.6	-25.6		
-70.8	-25.8		
-70.6	-26.0		
-70.6	-26.2		
-70.6	-26.4		
-70.8	-26.6		
-70.8	-26.8		
-70.8	-27.0		
-71.0	-27.2		
-71.0	-27.4		
-71.0	-27.6		
-71.0	-27.8		
-71.2	-28.0		
-71.2	-28.2		
-71.2	-28.4		
-71.2	-28.6		
-71.4	-28.8		
-71.6	-29.0		
-71.4	-29.2		
-71.4	-29.4		
-71.4	-29.6		
-71.4	-29.8		
-71.4	-30.0		
-71.4	-30.2		
-71.6	-30.4		
-71.8	-30.6		
-71.8	-30.8		
-71.6	-31.0		
-71.6	-31.2		
-71.6	-31.4		
-71.6	-31.6		
-71.6	-31.8		
-71.6	-32.0		
-71.6	-32.2		
-71.4	-32.4		
-71.4	-32.6		
-71.6	-32.8		
-71.6	-33.0		
-71.8	-33.2		
-71.6	-33.4		
-71.6	-33.6		
-71.8	-33.8		
-72	-34		
-72.0	-34.2		
-72.0	-34.4		
-72.0	-34.6		
-72.2	-34.8		
-72.2	-35.0		
-72.4	-35.2		
-72.4	-35.4		
-72.6	-35.6		
-72.6	-35.8		
-72.8	-36.0		
-72.8	-36.2		
-72.8	-36.4		
-73.0	-36.6		
-73.2	-36.8		
-73.2	-37.0		
-73.6	-37.2		
-73.6	-37.4		
-73.6	-37.6		
-73.6	-37.8		
-73.4	-38.0		
-73.4	-38.2		
-73.6	-38.4		
-73.4	-38.6		
-73.4	-38.8		
-73.4	-39.0		
-73.2	-39.2		
-73.2	-39.4		
-73.4	-39.6		
-73.4	-39.8		
-73.8	-40.0		
-73.8	-40.2		
-73.8	-40.4		
-73.8	-40.6		
-74.0	-40.8		
-74	-41		
-74.0	-41.2		
-73.8	-41.4		
-73.8	-41.6		
-74.0	-41.8		
-74	-42		
-74.2	-42.2		
-74.2	-42.4		
-74.2	-42.6		
-74.2	-42.8		
-74.2	-43.0		
-74.4	-43.2		
-74.2	-43.4		
-74.2	-43.6		
-74.2	-43.8		
-74.2	-44.0		
-74.2	-44.2		
-74.4	-44.4		
-74.6	-44.6		
-74.6	-44.8		
-74.4	-45.0		
